Story ID,Role,Goal,Benefit,Acceptance Criteria,Feedback
SA_MANAGE_001,As a Service Coordinator,I want to manually create and edit a client's service agreement,So that authorizations are accurately captured.," - The system must enforce all checks in data_integrity_rules.md. - Must FAIL creation if patient_id is missing. - Must FAIL to change status to 'Approved' if the linked patient is missing a DOB or MRN.",""
SA_IMPORT_001,As a Billing Manager,I want to import a CSV of service agreements,So that authorizations can be updated in bulk efficiently and accurately.," - User can upload a CSV matching the 'mnits_service_agreement_v1.spec.md'. - System provides a pre-validation report (e.g., 10 created, 5 updated, 2 errors). - Errors are reported with row numbers and clear reasons.",
SA_VIEW_HISTORY_001,As a Supervisor,I want to view a history of all service agreements for a client,"So I can understand their full authorization history, including past and future agreements."," - A client's record has a tab showing all SAs, including expired and future-dated ones. - Can clearly see the currently active agreement. - Can view the remaining unit balance for the active agreement.",
APPROVAL_REJECT_001,As a Supervisor,I want to reject a timecard with a mandatory reason note,So that the DSP is notified of the issue and can make corrections.," - The review screen includes a 'Validation Checklist' to help understand errors. - Supervisor can click a 'Reject' button on a pending timecard. - A dialog requires selecting a rejection reason and adding a note. - The timecard status changes to 'Rejected' and is sent back to the DSP's queue.",
APPROVAL_EDIT_001,As a Supervisor,"I want to correct minor errors (e.g., start/end time) on a timecard myself",So I can fix obvious mistakes without sending it back to the DSP.," - The review screen includes a 'Validation Checklist' to help understand errors. - Supervisor can edit the start time, end time, and service code on a pending timecard. - Any edit requires a mandatory justification note. - An audit log tracks the original and changed values.",
ADMIN_CONFIG_RULES_001,As a System Admin,I want to configure key business rules in the system,So that our operations are compliant with payer-specific requirements.," - Can define and edit rounding rules (e.g., 8-minute rule). - Can define which validation errors are overridable by supervisors. - Can manage the list of rejection reasons supervisors use.",
REPORT_VISIT_001,As a Billing Manager,I want to run a report of all billable visits within a date range,So I can reconcile what is being billed with the services delivered.," - Can filter report by date range, client, and DSP. - Report includes visit date, start/end times, duration, service code, and final units billed. - Report can be exported to CSV.",
REPORT_REJECTION_001,As a Billing Manager,I want to see a report of all rejected claims from the clearinghouse,"So I can identify, correct, and resubmit them in a timely manner."," - User can import a rejection file (e.g., 835). - The report lists rejected visits and the CARC code/reason. - Each item links back to the original visit record for correction.",
AUDIT_LOG_001,As an Administrator,I want to view an audit log of all sensitive system events,So that I can ensure compliance and investigate security incidents.," - Log records user, timestamp, and event details. - Events logged include: PHI exports, supervisor overrides, service agreement edits, and user login failures. - Log is searchable and filterable.",
VISIT_SELECT_CLIENT_001,As a DSP,I want to see a clear list of only the clients I am authorized to serve,So that I can quickly and accurately select the correct individual to start a visit for.," - Upon login, the app presents a searchable list of the DSP's assigned clients. - Each item clearly displays the client's name and a non-PHI identifier. - Selecting a client proceeds to the service selection screen. - The list is updated automatically when a supervisor changes assignments.",
VISIT_ADD_NOTE_001,As a DSP,I want to add a descriptive note to a visit or a specific service segment,"So that I can document important observations, progress towards goals, or any incidents that occurred."," - Can add a note while the visit is active or during a post-visit review period (e.g., up to 24 hours). - Note is permanently associated with the visit record. - Supervisors can view notes during approval. - Note content is sanitized.",
TIMECARD_VIEW_REJECTED_001,As a DSP,I want to see a clear notification and the reason for a rejected timecard,So that I can understand what needs to be fixed and can work with my supervisor to correct it.," - Dashboard clearly indicates a rejected timecard. - DSP can open the rejected timecard to view the reason and supervisor's notes. - For MVP, DSP does not edit; this story is for viewing the rejection details.",
VISIT_CAPTURE_MILEAGE_001,As a DSP,I want to record my mileage for a visit,So that I can be reimbursed for travel and the agency can bill for it if applicable.," - Can enter miles traveled numerically. - Can specify travel purpose (e.g., 'Transporting client'). - Mileage is associated with the visit record and visible to supervisors. - Mileage is included in visit reports.",
VISIT_CAPTURE_ACTIVITIES_001,As a DSP,I want to view and check off a list of required activities for a visit,So that I can ensure all tasks from the client's care plan are completed and documented., - App displays a checklist of activities specific to the client and service. - DSP can check off each completed activity. - The record of completed activities is saved with the visit and visible to supervisors. - Incomplete mandatory activities can be flagged.,
VISIT_CAPTURE_MAR_001,As a DSP,I want to log medication administration events during a visit,So that there is a precise and compliant record of all medications given to the client.," - Can select a medication from the client's prescribed list. - Can record the dosage, time, and route of administration. - Can add a note specific to the administration. - The MAR entry is a permanent, time-stamped record linked to the visit, with heightened security and auditing.",
VISIT_COMMUNITY_001,As a DSP,I want to record services that are delivered in a community setting,So that my location is verified correctly and the service is documented as compliant.," - Can start and stop a visit segment when outside of the client's primary residence. - The EVV system captures the GPS coordinates of the community location. - The system allows me to add a note specifying the location (e.g., 'Community outing to library').",
VISIT_GOAL_TRACKING_001,As a DSP,I want to view a client's specific goals and document progress towards them during my visit,So that I can provide goal-oriented support and meet 245D documentation requirements.," - Before or during a visit, I can view a simplified list of the client's active goals (e.g., 'Goal: Improve cooking skills'). - During note entry, I can tag my note against one or more of these goals. - This creates a clear record of how my service supported the client's plan.",
VISIT_SPLIT_SHIFT_001,As a DSP,"I want an easy way to handle split shifts (e.g., a morning visit and an evening visit)","So that each distinct period of work is captured as a separate, billable visit without extra hassle."," - The system treats each clock-in/clock-out pair as a distinct visit. - If I clock in for the same client on the same day after a significant gap (e.g., > 2 hours), the system prompts to confirm if this is a new visit. - Both visits are submitted to my supervisor independently.",
WORKFLOW_GROUP_HOME_001,As a DSP in a group home,I want a simplified way to manage visits for multiple clients I am supporting simultaneously,So that I can accurately record time without having to start and stop visits for each person individually.," - The app has a 'Group Home Mode'. - I can select the clients I am responsible for at the start of my shift. - The system creates concurrent, overlapping visits for all selected clients for the duration of my shift. - The system automatically flags these visits for the 'U1' shared staffing modifier.",
